Model,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Top5_RMSE_RM,Top5_MAE_RM,RMSE_Rank,MAE_Rank
LightGBM + Position Features,118903.83223288442,59696.6881969071,0.8699315734735507,0.8682983338137208,31739.025660425716,415446.4238498363,279463.5402638327,1,1
Gradient Boosting,123815.8865349057,61270.67856360546,0.8589630441176763,0.8577620907945698,34172.6396666388,442045.92353988753,293635.7434363639,2,3
Random Forest,124499.35033010734,60979.15617764107,0.8574016984396978,0.8561874499963956,33052.08816620376,443248.1554008943,286306.9084315925,3,2
Ridge Regression,141108.82942983773,75018.33170320009,0.8168155685875212,0.8152557224445731,46657.9279661795,500908.95700332493,323721.85021227266,4,4
