fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
4,word,30,description_svd_16,0.005555631048478803,0.17842330856408883,5000
4,word,30,description_svd_17,0.005434311829982662,0.1838576203940715,5000
4,word,30,description_svd_18,0.005148792634947464,0.18900641302901897,5000
4,word,30,description_svd_19,0.004867123935586479,0.19387353696460544,5000
4,word,30,description_svd_20,0.004813486343043841,0.19868702330764929,5000
4,word,30,description_svd_21,0.0047023492403760825,0.20338937254802536,5000
4,word,30,description_svd_22,0.004477417294038123,0.20786678984206347,5000
4,word,30,description_svd_23,0.004418783012762588,0.21228557285482605,5000
4,word,30,description_svd_24,0.004304429912049938,0.21659000276687598,5000
4,word,30,description_svd_25,0.0041881328058531305,0.2207781355727291,5000
4,word,30,description_svd_26,0.004098342809375646,0.22487647838210476,5000
4,word,30,description_svd_27,0.0039523091170356964,0.22882878749914046,5000
4,word,30,description_svd_28,0.003884557689167023,0.23271334518830747,5000
4,word,30,description_svd_29,0.0037547046684635716,0.23646804985677103,5000
4,word,30,description_svd_30,0.0036141806674525384,0.24008223052422356,5000
4,word,50,description_svd_01,0.008451123840928242,0.008451123840928242,5000
4,word,50,description_svd_02,0.03878130817154682,0.04723243201247506,5000
4,word,50,description_svd_03,0.01673340130073437,0.06396583331320943,5000
4,word,50,description_svd_04,0.014809996124645418,0.07877582943785486,5000
4,word,50,description_svd_05,0.012198405595841894,0.09097423503369675,5000
4,word,50,description_svd_06,0.011884564045368117,0.10285879907906487,5000
4,word,50,description_svd_07,0.010359951405255212,0.11321875048432008,5000
4,word,50,description_svd_08,0.009408202104148293,0.12262695258846837,5000
4,word,50,description_svd_09,0.008943929804249925,0.1315708823927183,5000
4,word,50,description_svd_10,0.008020287738665118,0.13959117013138342,5000
