listing_id,price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,property_age,number_of_floors,total_units,description_length,has_swimming_pool,has_security,has_lift,has_gym,has_playground,is_furnished,is_renovated,property_type,tenure_type,land_title,floor_range,state,building_name,developer,city
103582335,240000,650.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,,17.0,,654.0,0,1,1,0,1,0,0,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kasturi Apartment (Bdr Tasik Permaisuri),Unknown,Kuala Lumpur
103386504,500000,1182.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2015.0,11.0,25.0,300.0,94.0,1,1,0,1,1,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang,Sierra Residences,GSD Land (M) Sdn Bhd,Sungai Ara
103684680,341500,872.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,,,,,1215.0,1,1,1,1,1,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Kajang Service Apartment,Unknown,Kajang
103683568,230500,450.0,1.0,2.0,1.0,11,0,1,0,0,0,0,0,,,,,695.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Semenyih Service Residences,Unknown,Semenyih
103806074,515000,1005.0,2.0,2.0,1.0,12,0,0,0,0,0,0,0,2018.0,8.0,,1050.0,440.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Johor,Molek Regency,ALPHA ASTRAL REALTY SDN BHD,Johor Bahru
103805967,200000,430.0,1.0,1.0,1.0,8,0,0,0,0,0,0,0,2019.0,7.0,25.0,2003.0,416.0,1,1,1,1,1,0,0,Service Residence,Freehold,Non Bumi Lot,Low,Johor,Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Johor Bahru
103805963,298000,1050.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,4.0,,431.0,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Johor,Prima Regency Service Apartment,Unknown,Johor Bahru
103805953,418000,986.0,3.0,2.0,2.0,13,0,0,0,0,0,0,0,2015.0,11.0,25.0,585.0,440.0,1,1,1,1,1,1,0,Apartment,Freehold,Non Bumi Lot,High,Johor,D'Inspire Residence @ Nusa Bestari,Khoo Soon Lee Realty Sdn. Bhd.,Iskandar Puteri
103615831,220000,950.0,3.0,2.0,1.0,3,0,1,0,1,0,0,1,,,,309.0,1052.0,0,1,1,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor,Plaza Indah,TLS Group,Kajang
102461841,320000,1055.0,3.0,2.0,2.0,12,1,0,0,0,1,1,0,,,,,936.0,1,1,1,1,1,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Selangor,Koi Prima,Masteron Group,Puchong
101979792,280000,1017.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,,,,,1043.0,1,1,1,1,1,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Selangor,Savanna Executive Suites,Mah Sing Group Berhad,Bangi
103806053,1150000,1387.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,2018.0,8.0,35.0,3224.0,678.0,1,1,1,1,1,1,0,Service Residence,Freehold,Non Bumi Lot,High,Johor,R&F Princess Cove,R&F Development Sdn Bhd,Johor Bahru
103715477,320000,720.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,2018.0,8.0,,160.0,972.0,1,1,0,1,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Melaka,The Heights Residence @ Taman Muzaffar Heights,Scientex Berhad,Ayer Keroh
103805909,880000,1474.0,4.0,4.0,2.0,9,1,0,0,0,1,1,0,2020.0,6.0,35.0,212.0,1280.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,High,Kuala Lumpur,The Riyang @ Happy Garden,Suntrack Development Sdn Bhd,Kuala Lumpur
103805998,550000,788.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,,977.0,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,High,Sarawak,TT3 Soho,Ibraco Berhad,Kuching
103292386,180000,517.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,,,,,206.0,0,0,1,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Taman Bukit Cheras,Titijaya Land Berhad,Cheras
103292345,200000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,5.0,,423.0,0,0,0,0,0,0,0,Flat,Leasehold,Non Bumi Lot,Low,Selangor,Rumah Pangsa Impian (Saujana Putra),Unknown,Kuala Langat
103292300,300000,850.0,3.0,2.0,2.0,3,0,0,1,0,1,0,0,,,,536.0,530.0,0,1,0,0,1,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Alam Budiman (Sri Budiman),SHL Consolidated Berhad,Setia Alam
101804692,438000,800.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,,,,,503.0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Unknown,Unknown,Unknown,Unknown
100462242,700000,1432.0,3.0,2.0,2.0,10,0,0,0,0,0,0,0,,,,684.0,1021.0,1,1,1,1,1,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Tribeca,Unknown,Kuching
103703580,195000,527.0,2.0,1.0,1.0,2,1,0,1,1,1,0,0,,,,,477.0,0,0,1,0,1,0,0,Flat,Leasehold,Bumi Lot,Low,Kuala Lumpur,Perumahan Awam Sri Perak,Unknown,Kuala Lumpur
103640175,493000,1108.0,3.0,2.0,1.0,9,0,0,0,0,0,0,0,,,,,727.0,1,1,1,1,1,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,SkyVilla Condominium (MJC),Mudajaya Group,Kuching
102709021,195000,860.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,,,,569.0,1,1,0,0,1,0,0,Apartment,Leasehold,Bumi Lot,Unknown,Selangor,Pangsapuri Resak,Unknown,Shah Alam
103805884,420000,1011.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,2014.0,12.0,26.0,440.0,387.0,1,1,1,1,1,1,0,Apartment,Freehold,Non Bumi Lot,Unknown,Johor,Horizon Residence Luxury Apartment,Mahabuilders Berhad,Johor Bahru
103125815,255000,925.0,3.0,2.0,1.0,9,1,1,0,0,1,1,0,2002.0,24.0,,1188.0,876.0,1,1,0,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Cyberia SmartHomes,Paramoden (MK Land),Cyberjaya
103755519,240000,753.0,3.0,2.0,1.0,5,0,1,0,0,0,0,0,,,,,1114.0,0,0,0,0,1,0,1,Apartment,Freehold,Bumi Lot,High,Selangor,Pangsapuri Angsana,Unknown,Cheras
103690820,350000,1093.0,3.0,2.0,1.0,8,0,1,0,0,1,1,0,,,,634.0,588.0,1,1,0,1,1,0,0,Condominium,Leasehold,Bumi Lot,Medium,Selangor,East Lake Residence,Hongkong Land,Seri Kembangan
102135985,978000,1400.0,3.0,3.0,2.0,14,0,0,0,0,0,0,0,2015.0,11.0,29.0,260.0,699.0,1,1,1,1,1,0,1,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Raffel Tower,BSG Property,Gelugor
103637327,260000,800.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,2014.0,12.0,4.0,75.0,512.0,1,1,1,1,1,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Karisma @ Eco Majestic,Eco World Development Group Berhad,Semenyih
103594449,263000,953.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,,4.0,,443.0,0,1,0,0,1,1,1,Apartment,Freehold,Non Bumi Lot,Medium,Johor,Melana Apartment,Unknown,Skudai
103142753,168000,750.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,,,,,282.0,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Johor,Taman Pulai Utama @ Shop Apartment,Unknown,Skudai
103754290,530000,1152.0,3.0,2.0,1.0,10,0,0,0,0,1,1,1,2015.0,11.0,21.0,424.0,694.0,1,1,1,1,1,0,0,Others,Leasehold,Non Bumi Lot,Low,Selangor,Flexis @ One South,Hua Yang Berhad,Seri Kembangan
103805698,950000,1334.0,3.0,2.0,2.0,12,1,0,0,0,0,1,0,2019.0,7.0,30.0,1039.0,328.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Sky Condominium @ Bandar Puchong Jaya,IOI Properties Group,Puchong
103805692,375000,705.0,1.0,1.0,1.0,11,1,0,1,0,1,1,0,2015.0,11.0,41.0,1040.0,729.0,1,1,1,1,1,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,The Elements,Elite Forward Sdn Bhd (L&G / Mayland),Kuala Lumpur
102399058,200000,689.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,,,,536.0,0,1,1,0,1,0,1,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Sun Moon City,Unknown,Ayer Itam
102725008,580000,1700.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,,694.0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Village Grove Condominium,Unknown,Kuching
