price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,number_of_floors,total_units,property_type,tenure_type,land_title,floor_range,state,city
300000,850.0,3.0,2.0,2.0,3,0,0,1,0,1,0,0,,,536.0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Setia Alam
438000,800.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,Medium,Unknown,Unknown
700000,1432.0,3.0,2.0,2.0,10,0,0,0,0,0,0,0,,,684.0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
195000,527.0,2.0,1.0,1.0,2,1,0,1,1,1,0,0,,,,Flat,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kuala Lumpur
493000,1108.0,3.0,2.0,1.0,9,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
195000,860.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Bumi Lot,Unknown,Selangor,Shah Alam
420000,1011.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,2014.0,26.0,440.0,Apartment,Freehold,Non Bumi Lot,Unknown,Johor,Johor Bahru
255000,925.0,3.0,2.0,1.0,9,1,1,0,0,1,1,0,2002.0,,1188.0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Cyberjaya
240000,753.0,3.0,2.0,1.0,5,0,1,0,0,0,0,0,,,,Apartment,Freehold,Bumi Lot,High,Selangor,Cheras
350000,1093.0,3.0,2.0,1.0,8,0,1,0,0,1,1,0,,,634.0,Condominium,Leasehold,Bumi Lot,Medium,Selangor,Seri Kembangan
978000,1400.0,3.0,3.0,2.0,14,0,0,0,0,0,0,0,2015.0,29.0,260.0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Gelugor
260000,800.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,2014.0,4.0,75.0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Semenyih
263000,953.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,4.0,,Apartment,Freehold,Non Bumi Lot,Medium,Johor,Skudai
168000,750.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Low,Johor,Skudai
530000,1152.0,3.0,2.0,1.0,10,0,0,0,0,1,1,1,2015.0,21.0,424.0,Others,Leasehold,Non Bumi Lot,Low,Selangor,Seri Kembangan
950000,1334.0,3.0,2.0,2.0,12,1,0,0,0,0,1,0,2019.0,30.0,1039.0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Puchong
375000,705.0,1.0,1.0,1.0,11,1,0,1,0,1,1,0,2015.0,41.0,1040.0,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,Kuala Lumpur
200000,689.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Ayer Itam
580000,1700.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
228000,958.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,17.0,,Apartment,Leasehold,Bumi Lot,High,Johor,Tampoi
368000,965.0,3.0,2.0,1.0,4,1,0,0,0,0,0,0,2015.0,16.0,228.0,Condominium,Leasehold,Bumi Lot,Unknown,Selangor,Selayang
530000,1120.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,Medium,Sarawak,Kuching
670000,1654.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,1998.0,15.0,198.0,Condominium,Freehold,Non Bumi Lot,Medium,Putrajaya,Putrajaya
295000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,2007.0,13.0,445.0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Kajang
320000,700.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,1999.0,16.0,476.0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Tanjung Bungah
410000,1400.0,3.0,2.0,2.0,3,1,0,0,0,0,1,0,,,,Others,Leasehold,Non Bumi Lot,Unknown,Selangor,Seri Kembangan
100000,650.0,3.0,2.0,1.0,0,1,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Rawang
148000,560.0,2.0,1.0,3.0,3,1,0,0,1,1,1,0,,,,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
380500,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,SS2
620000,1598.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,2017.0,42.0,670.0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Sungai Ara
380000,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,Bandar Utama
380300,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,Damansara Jaya
280000,1001.0,3.0,2.0,2.0,5,0,0,0,0,0,0,0,2006.0,22.0,246.0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Kajang
300000,850.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,15.0,,Apartment,Freehold,Non Bumi Lot,High,Johor,Johor Bahru
298000,1180.0,4.0,2.0,1.0,8,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Medium,Johor,Gelang Patah
469000,1385.0,4.0,2.0,1.0,5,0,0,0,0,0,0,0,,,42.0,Apartment,Freehold,Non Bumi Lot,Low,Johor,Skudai
270000,800.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,,5.0,,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Puchong
320000,983.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,,23.0,,Condominium,Freehold,Bumi Lot,Medium,Melaka,Cheras
550000,1515.0,3.0,3.0,1.0,11,0,0,0,0,0,0,0,1998.0,15.0,198.0,Condominium,Freehold,Non Bumi Lot,Low,Putrajaya,Putrajaya
470000,1711.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
245000,850.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,2015.0,20.0,1440.0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor,Damansara Perdana
580000,1667.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
650000,2020.0,5.0,2.0,2.0,0,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Kuching
369900,1012.0,3.0,2.0,3.0,10,1,0,0,1,0,0,0,2014.0,23.0,744.0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor,Batu Caves
320000,650.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,,27.0,454.0,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Jelutong
220000,650.0,3.0,2.0,1.0,2,1,0,1,0,0,1,0,,5.0,,Apartment,Freehold,Bumi Lot,Medium,Selangor,Setia Alam
220000,477.0,1.0,1.0,1.0,9,0,0,0,0,0,0,0,2017.0,23.0,763.0,Service Residence,Freehold,Non Bumi Lot,Low,Selangor,Semenyih
320000,1117.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,Apartment,Freehold,Bumi Lot,Unknown,Perak,Ipoh
118000,516.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Unknown,Johor,Skudai
125000,494.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,High,Johor,Skudai
530000,1200.0,3.0,3.0,2.0,14,0,0,0,0,0,0,0,,,,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
518000,1300.0,4.0,3.0,3.0,14,0,0,0,0,0,0,0,2023.0,44.0,684.0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
110000,526.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Low,Johor,Skudai
659900,1261.0,3.0,2.0,2.0,10,1,1,0,1,1,0,0,2019.0,26.0,344.0,Condominium,Freehold,Non Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
738000,1690.0,3.0,3.0,2.0,10,0,0,0,0,0,0,0,2014.0,18.0,156.0,Condominium,Freehold,Bumi Lot,Low,Kuala Lumpur,Kuala Lumpur
545000,1300.0,4.0,3.0,1.0,14,0,0,0,0,0,0,0,2023.0,44.0,684.0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
97999,675.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,,5.0,,Apartment,Leasehold,Non Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
128000,610.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Leasehold,Non Bumi Lot,Low,Johor,Skudai
230000,850.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Low,Johor,Johor Bahru
450000,1000.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,2023.0,38.0,900.0,Apartment,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
445000,1000.0,3.0,2.0,2.0,6,1,0,0,0,1,1,0,2023.0,38.0,900.0,Apartment,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
205000,434.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,2019.0,25.0,2003.0,Service Residence,Freehold,Non Bumi Lot,High,Johor,Johor Bahru
135000,750.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Medium,Johor,Masai
120000,525.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Low,Johor,Skudai
290000,929.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Bumi Lot,Unknown,Negeri Sembilan,Nilai
550000,1515.0,3.0,3.0,1.0,13,0,0,0,0,0,0,0,1998.0,15.0,198.0,Condominium,Freehold,Non Bumi Lot,High,Putrajaya,Putrajaya
548000,1350.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2020.0,,809.0,Service Residence,Freehold,Non Bumi Lot,Medium,Melaka,Bukit Baru
350000,1065.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,4.0,,Service Residence,Freehold,Non Bumi Lot,Medium,Johor,Johor Bahru
350000,876.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,Unknown,Johor,Johor Bahru
560000,1066.0,3.0,2.0,2.0,7,1,0,0,0,0,0,0,,,414.0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor,Glenmarie
245000,678.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,,27.0,303.0,Condominium,Leasehold,Non Bumi Lot,Medium,Johor,Johor Bahru
298000,850.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,,12.0,1012.0,Apartment,Leasehold,Non Bumi Lot,Low,Sabah,Penampang
650000,753.0,3.0,2.0,2.0,10,0,0,0,0,0,0,0,2020.0,42.0,150.0,Service Residence,Freehold,Non Bumi Lot,High,Penang,Jelutong
1095000,2896.0,6.0,5.0,1.0,5,0,0,0,0,0,0,0,,,,Others,Freehold,Non Bumi Lot,Low,Selangor,Cyberjaya
200000,1001.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,High,Melaka,Melaka City
437400,1654.0,3.0,3.0,2.0,11,0,0,0,0,0,0,0,1998.0,15.0,198.0,Condominium,Freehold,Non Bumi Lot,Low,Putrajaya,Putrajaya
620000,1668.0,3.0,3.0,2.0,11,0,0,0,0,0,0,0,,,,Condominium,Freehold,Non Bumi Lot,Low,Unknown,Unknown
290000,861.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,,,,Apartment,Freehold,Bumi Lot,Medium,Johor,Johor Bahru
225500,1053.0,3.0,2.0,2.0,5,0,0,0,0,0,0,0,2016.0,5.0,469.0,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor,Kajang
465500,1081.0,3.0,2.0,2.0,10,1,0,0,0,1,1,0,2011.0,23.0,284.0,Condominium,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,Kuala Lumpur
250000,900.0,3.0,2.0,1.0,8,1,1,1,1,1,1,1,2003.0,20.0,290.0,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
850000,1100.0,2.0,2.0,3.0,5,0,0,0,0,0,0,0,2013.0,30.0,,Service Residence,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
300000,1011.0,3.0,2.0,2.0,10,1,0,0,1,0,0,0,2014.0,23.0,744.0,Service Residence,Freehold,Non Bumi Lot,High,Selangor,Batu Caves
488000,1190.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,2002.0,10.0,,Condominium,Freehold,Bumi Lot,Low,Selangor,Shah Alam
335000,850.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,,10.0,65.0,Service Residence,Leasehold,Non Bumi Lot,Low,Johor,Johor Bahru
368000,450.0,1.0,1.0,1.0,10,1,0,0,0,1,1,0,2022.0,26.0,319.0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor,Subang Jaya
340000,818.0,3.0,2.0,1.0,8,1,1,0,1,0,0,0,2021.0,44.0,2136.0,Service Residence,Leasehold,Non Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
447000,850.0,3.0,2.0,1.0,13,0,0,0,0,0,0,0,1998.0,16.0,488.0,Condominium,Leasehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
450000,950.0,3.0,2.0,2.0,4,1,1,0,1,1,1,0,2015.0,31.0,4225.0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
178000,776.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,18.0,,Apartment,Leasehold,Non Bumi Lot,Low,Selangor,Selayang
220000,650.0,3.0,1.0,1.0,3,1,0,1,0,0,1,0,,5.0,,Apartment,Freehold,Bumi Lot,Medium,Selangor,Setia Alam
245000,850.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,2015.0,20.0,1440.0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor,Damansara Perdana
300000,932.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,,9.0,,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Bandar Mahkota Cheras
230000,656.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,1993.0,8.0,23.0,Apartment,Leasehold,Non Bumi Lot,High,Penang,George Town
630000,1340.0,4.0,2.0,1.0,7,1,1,1,1,1,0,0,2007.0,19.0,436.0,Condominium,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kuala Lumpur
150000,688.0,3.0,2.0,1.0,1,0,0,0,0,1,0,0,,,,Flat,Leasehold,Bumi Lot,Low,Selangor,Bandar Bukit Raja
235000,603.0,3.0,1.0,1.0,3,1,1,0,1,1,1,0,,,,Apartment,Leasehold,Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
450000,1048.0,3.0,2.0,2.0,10,1,0,0,0,0,1,0,,,,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kuala Lumpur
345000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,2008.0,29.0,,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
345000,750.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,2008.0,29.0,,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
276000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,Unknown,Penang,Sungai Ara
260000,700.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,1995.0,11.0,100.0,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Ayer Itam
300000,970.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,1997.0,14.0,528.0,Apartment,Leasehold,Non Bumi Lot,Medium,Penang,Sungai Dua
555000,1200.0,3.0,2.0,2.0,6,0,0,0,0,0,0,0,2016.0,20.0,771.0,Condominium,Freehold,Non Bumi Lot,Low,Penang,Sungai Ara
290000,900.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Medium,Melaka,Batu Berendam
339000,1021.0,3.0,2.0,1.0,2,1,1,0,0,1,1,0,,14.0,,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
