Model,R2,Adjusted_R2,MAE_RM,RMSE_RM,Median_AE_RM
Random Forest,0.8598720018371101,0.8586787884413644,61217.27428950846,123416.25608940292,32924.28841907636
Gradient Boosting,0.8348681417287795,0.8334620162725052,64225.231615964374,133975.48652834768,34827.45976108452
KNN,0.8206478568447475,0.8191206432787634,70775.29981602273,139625.00255675465,38084.642487370234
Ridge Regression,0.8012927133570733,0.7996006874995497,76326.10907681377,146965.97673322752,47574.98748243929
