variant,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM,Training_RMSE_RM,Validation_RMSE_RM,RMSE_gap_RM,Training_MAE_RM,Validation_MAE_RM,MAE_gap_RM,Training_R2,Validation_R2,R2_gap,RMSE_change_vs_RF_RM,RMSE_change_vs_RF_percent,MAE_change_vs_RF_RM,MAE_change_vs_RF_percent,R2_change_vs_RF,Top5_RMSE_change_vs_RF_RM,Top5_MAE_change_vs_RF_RM,RMSE_change_vs_LightGBM_RM,RMSE_change_vs_LightGBM_percent,MAE_change_vs_LightGBM_RM,MAE_change_vs_LightGBM_percent,R2_change_vs_LightGBM,Top5_RMSE_change_vs_LightGBM_RM,Top5_MAE_change_vs_LightGBM_RM
building_name_te,120201.22007355573,61613.19807437313,0.8670776734261412,0.8655881489554629,32652.10208560177,-1120.3512453127732,3754.4583197694446,418749.3874791527,294819.8269345541,77191.99288503824,49308.48841499119,54389.75105386204,120201.22007355573,65811.46901969369,28826.39716739681,61613.19807437313,32786.80090697632,0.9726417465683479,0.8670776734261412,0.10556407314220673,-3215.0360158471885,-2.6050344725399963,395.9237848646735,0.6467517370869414,0.007205671589031182,-18388.42833063868,473.71177834429545,-171.28713208159024,-0.14229755286975404,214.23255134239298,0.34891882870898594,0.00037909941761316013,-1562.1229429217055,-912.4825260432553
baseline_lightgbm,120372.50720563732,61398.96552303074,0.866698574008528,0.865204801358677,32756.79514097757,-1221.8974797922472,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,54830.39171260481,120372.50720563732,65542.1154930325,28890.841626756057,61398.96552303074,32508.123896274683,0.972248314171685,0.866698574008528,0.10554974016315699,-3043.7488837655983,-2.4662463278425024,181.69123352228053,0.29679732662226543,0.006826572171418022,-16826.305387716973,1386.1943043875508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_te,120377.11891127865,61078.04992742538,0.8666883597373694,0.8651944726266355,32338.615428458434,-1885.828540918594,2605.837025429588,421832.19726482104,294472.9340015564,76592.59844522753,48763.40733534404,53726.085263263245,120377.11891127865,66651.03364801541,28355.334667673404,61078.04992742538,32722.715259751978,0.9733663855221305,0.8666883597373694,0.10667802578476115,-3039.1371781242633,-2.4625096194157017,-139.22436208307772,-0.22742659437050153,0.006816357900259362,-15305.618544970348,126.81884534662822,4.611705641334993,0.003831195136158979,-320.91559560535825,-0.5226726425626551,-1.0214271158659471e-05,1520.6868427466252,-1259.3754590409226
all_te_plus_frequency,121185.52780334062,61295.28909857741,0.8648918025597752,0.8632683395731771,33038.161020171014,-1883.4950499577772,2074.9503019679105,426791.1022488234,296717.0473002929,76485.10432941177,48873.70230093065,49343.88711046752,121185.52780334062,71841.6406928731,26469.44425457549,61295.28909857741,34825.84484400191,0.9775495909533884,0.8648918025597752,0.11265778839361329,-2230.7282860622945,-1.8074833549045206,78.01480906894722,0.12743920727342406,0.005019800722665169,-10346.713560967997,2370.9321440830827,813.0205977033038,0.675420506373924,-103.67642445333331,-0.16885695641638182,-0.001806771448752853,6479.591826748976,984.7378396955319
all_te_replace,121312.9578787947,61293.48013264869,0.8646075128411533,0.8630903078089571,32428.00894228462,-1097.207488487533,3140.6952892609697,428847.2752691195,298811.04978274944,76089.91359379792,48761.31178121322,51114.67269212045,121312.9578787947,70198.28518667424,27372.403552295327,61293.48013264869,33921.076580353365,0.9759114180686812,0.8646075128411533,0.11130390522752787,-2103.29821060822,-1.7042310934181861,76.2058431402329,0.12448421466764524,0.004735511004043347,-8290.540540671907,4464.934626539645,940.4506731573783,0.7812836128359174,-105.48539038204763,-0.17180320463620855,-0.002091061167374675,8535.764847045066,3078.7403221520944
developer_building_te,121865.48976146552,61248.92548248974,0.8633713872222657,0.8618403301954074,32912.975307522895,-1042.1902334875133,3626.00988100376,431779.7144714843,297969.3535315907,76144.38945976824,48758.81681008509,51978.92608624017,121865.48976146552,69886.56367522535,27811.700689067045,61248.92548248974,33437.2247934227,0.9750557563677471,0.8633713872222657,0.11168436914548141,-1550.7663279373955,-1.2565332777669243,31.65119298128411,0.051703041908725676,0.0034993853851557066,-5358.101338307082,3623.2383753809263,1492.9825558282027,1.240301951406295,-150.04004054099642,-0.2443690040424483,-0.003327186786262315,11468.204049409891,2237.0440709933755
all_te_plus_raw,121871.56909926706,61616.23916234571,0.8633577552710078,0.8617158591394177,33041.05676227767,-1133.5910527585818,2720.7030485857977,431623.11880307616,303319.83493118145,76201.45558848526,48863.20300681147,51947.727109571024,121871.56909926706,69923.84198969603,27568.9512098904,61616.23916234571,34047.28795245531,0.9750849082008448,0.8633577552710078,0.11172715292983704,-1544.6869901358587,-1.2516073968544994,398.96487283724855,0.65171943290135,0.003485753433897787,-5514.697006715229,8973.719774971658,1499.0618936297396,1.245352388539046,217.27363931496802,0.3538718241652927,-0.0033408187375202347,11311.608381001744,7587.525470584107
developer_te,122358.45500087946,61322.245800128985,0.8622637826979146,0.8607203138807621,32767.844891900837,-1641.407731404656,2957.0055190778803,433663.253817601,298732.27829314733,76411.4217476428,48795.75144476284,52985.60090130725,122358.45500087946,69372.85409957221,28159.817091488618,61322.245800128985,33162.428708640364,0.9740678103829529,0.8622637826979146,0.11180402768503828,-1057.8010885234544,-0.8571002897358851,104.9715106205258,0.17147367608053735,0.0023917808608046043,-3474.561992190371,4386.163136937539,1985.947795242144,1.6498350340493178,-76.71972290175472,-0.12495279398962703,-0.004434791310613417,13351.743395526602,2999.9688325499883
