row_index,listing_id,repeat_group_id,repeat_level,group_size,level1_match_group_id,level2_match_group_id
2943,101121674,RG_0215,Level 3 - possible repeat,2,,
2945,103251793,RG_0199,Level 3 - possible repeat,2,,
2948,103506212,RG_0019,Level 3 - possible repeat,2,,
2949,103522532,RG_0149,Level 3 - possible repeat,2,,
2954,103492971,RG_0216,Level 1 - exact duplicate,2,L1_0020,
2955,103492972,RG_0216,Level 1 - exact duplicate,2,L1_0020,
2963,103601485,RG_0217,Level 3 - possible repeat,2,,
2967,103585430,RG_0027,Level 3 - possible repeat,2,,
2977,103258889,RG_0218,Level 3 - possible repeat,2,,
2980,102451678,RG_0206,Level 3 - possible repeat,2,,
2986,103782690,RG_0114,Level 3 - possible repeat,2,,
2999,98927160,RG_0177,Level 3 - possible repeat,2,,
3000,103557523,RG_0203,Level 3 - possible repeat,2,,
3004,100322106,RG_0210,Level 3 - possible repeat,2,,
3005,103782725,RG_0165,Level 3 - possible repeat,2,,
3013,103258422,RG_0193,Level 3 - possible repeat,2,,
3021,103782625,RG_0191,Level 3 - possible repeat,2,,
3025,100977186,RG_0172,Level 3 - possible repeat,2,,
3035,103782498,RG_0089,Level 3 - possible repeat,2,,
3038,102197544,RG_0219,Level 3 - possible repeat,2,,
3041,103113406,RG_0195,Level 3 - possible repeat,2,,
3057,102470974,RG_0211,Level 3 - possible repeat,2,,
3061,103259332,RG_0220,Level 3 - possible repeat,2,,
3064,101042014,RG_0204,Level 3 - possible repeat,2,,
3082,101518072,RG_0221,Level 3 - possible repeat,2,,
3086,101710750,RG_0222,Level 3 - possible repeat,2,,
3091,102352833,RG_0218,Level 3 - possible repeat,2,,
3102,103383040,RG_0164,Level 3 - possible repeat,2,,
3105,103382831,RG_0214,Level 3 - possible repeat,2,,
3123,100857405,RG_0160,Level 3 - possible repeat,2,,
3144,102437336,RG_0221,Level 3 - possible repeat,2,,
3157,103782200,RG_0223,Level 3 - possible repeat,2,,
3164,103669918,RG_0185,Level 3 - possible repeat,2,,
3176,102515617,RG_0224,Level 3 - possible repeat,3,,
3184,103004645,RG_0113,Level 3 - possible repeat,2,,
3186,103782105,RG_0196,Level 3 - possible repeat,2,,
3189,102138231,RG_0225,Level 1 - exact duplicate,2,L1_0021,L2_0026
3201,103782065,RG_0144,Level 2 - strong repeat,3,,L2_0017
3206,103781930,RG_0155,Level 3 - possible repeat,2,,
3220,103316728,RG_0226,Level 3 - possible repeat,2,,
3223,102451522,RG_0224,Level 3 - possible repeat,3,,
3224,102380577,RG_0224,Level 3 - possible repeat,3,,
3228,103683022,RG_0025,Level 3 - possible repeat,2,,
3234,103349884,RG_0158,Level 3 - possible repeat,2,,
3238,101737502,RG_0227,Level 3 - possible repeat,2,,
3240,103193743,RG_0200,Level 3 - possible repeat,3,,
3241,102612602,RG_0192,Level 3 - possible repeat,2,,
3243,103464263,RG_0225,Level 1 - exact duplicate,2,L1_0021,L2_0026
3247,103781751,RG_0110,Level 3 - possible repeat,2,,
3280,103434959,RG_0228,Level 3 - possible repeat,2,,
3281,103434910,RG_0228,Level 3 - possible repeat,2,,
3282,103498210,RG_0115,Level 3 - possible repeat,2,,
3283,101491913,RG_0059,Level 3 - possible repeat,3,,
3296,101710780,RG_0222,Level 3 - possible repeat,2,,
3297,98459187,RG_0021,Level 3 - possible repeat,2,,
3298,97158710,RG_0229,Level 3 - possible repeat,2,,
3317,101836062,RG_0078,Level 3 - possible repeat,3,,
3341,103159773,RG_0220,Level 3 - possible repeat,2,,
3350,103269285,RG_0171,Level 3 - possible repeat,2,,
3354,98459567,RG_0010,Level 3 - possible repeat,4,,
3366,100890052,RG_0170,Level 3 - possible repeat,2,,
3405,101493192,RG_0022,Level 2 - strong repeat,2,,L2_0002
3406,101708995,RG_0042,Level 3 - possible repeat,2,,
3425,99917566,RG_0016,Level 3 - possible repeat,2,,
3430,103780869,RG_0092,Level 3 - possible repeat,2,,
3435,101765449,RG_0157,Level 3 - possible repeat,3,,
3438,103601623,RG_0217,Level 3 - possible repeat,2,,
3450,103780946,RG_0066,Level 3 - possible repeat,2,,
3473,103496485,RG_0006,Level 3 - possible repeat,2,,
3476,103780877,RG_0230,Level 1 - exact duplicate,2,L1_0022,L2_0027
3491,103449275,RG_0226,Level 3 - possible repeat,2,,
3493,101122065,RG_0215,Level 3 - possible repeat,2,,
3494,103283797,RG_0208,Level 3 - possible repeat,2,,
3498,96905594,RG_0219,Level 3 - possible repeat,2,,
3500,101688647,RG_0229,Level 3 - possible repeat,2,,
3501,101897522,RG_0205,Level 3 - possible repeat,2,,
3503,103403509,RG_0011,Level 3 - possible repeat,2,,
3504,103159221,RG_0197,Level 3 - possible repeat,2,,
