model,old_count,old_RMSE_RM,old_MAE_RM,old_Median_AE_RM,old_R2,old_Adjusted_R2,old_Top5_count,old_Top5_RMSE_RM,old_Top5_MAE_RM,old_P95_P99_count,old_P95_P99_RMSE_RM,old_P95_P99_MAE_RM,old_P99_P100_count,old_P99_P100_RMSE_RM,old_P99_P100_MAE_RM,group_safe_count,group_safe_RMSE_RM,group_safe_MAE_RM,group_safe_Median_AE_RM,group_safe_R2,group_safe_Adjusted_R2,group_safe_Top5_count,group_safe_Top5_RMSE_RM,group_safe_Top5_MAE_RM,group_safe_P95_P99_count,group_safe_P95_P99_RMSE_RM,group_safe_P95_P99_MAE_RM,group_safe_P99_P100_count,group_safe_P99_P100_RMSE_RM,group_safe_P99_P100_MAE_RM,rmse_change_RM,mae_change_RM,group_safe_rmse_rank,group_safe_mae_rank
random_forest,3791,123416.25608940294,61217.27428950846,32924.28841907636,0.85987200183711,0.8586787884413642,190,437137.8158097914,294346.1151562098,151,310389.74429233535,225977.61205094735,39,746949.1539424857,559054.9348714566,3791,139493.56019003675,67009.81840803406,35709.791239027516,0.8209853805445035,0.8194610410494062,190,508683.37063856877,335608.73277740524,151,345178.12668925617,241600.60550394337,39,894037.6259269477,699588.9178618343,16077.304100633803,5792.544118525599,4,3
lightgbm_interaction,3791,120372.50720563732,61398.96552303073,32756.79514097757,0.866698574008528,0.865204801358677,190,420311.5104220744,295732.30946059735,151,317840.2626395696,238885.1326253187,39,685216.5703863808,515832.9172074453,3791,132451.28841558326,66829.1544988059,35978.41040637143,0.8386040780900653,0.8367954791785879,190,461306.31867965683,316356.37038695277,151,333522.28407309554,245199.1212800608,39,778490.7246165184,591862.6425700473,12078.78120994594,5430.188975775171,2,2
building_name_te,3791,120201.22007355573,61613.19807437313,32652.10208560177,0.8670776734261412,0.8655881489554629,190,418749.3874791527,294819.8269345541,151,321007.7322299182,241188.61422094668,39,674760.3339160001,502468.8812872389,3791,132741.8433922035,67014.93047828709,36805.72645207739,0.8378952012737799,0.836078658705343,190,464349.0249342438,317499.44931975816,151,337733.85147457424,248891.43213259394,39,780271.4173186452,583135.6184290352,12540.623318647777,5401.732403913957,3,4
position_regex_lightgbm,3791,118750.19350875785,60967.10968555279,32559.579623052035,0.8702674858843791,0.8686384642003198,190,412319.68890075386,291219.0401045874,151,314958.7752133207,238293.4494681764,39,666455.9225201581,496136.0705173581,3791,131799.71256584063,66703.74785193184,35991.539170052856,0.8401881022549351,0.8381813805894214,190,457821.3232990301,315276.99819459306,151,328757.63094666187,242541.53276562208,39,776311.9682029,596893.8002400963,13049.519057082784,5736.638166379053,1,1
