model,count,RMSE_RM,MAE_RM,Median_AE_RM,R2,Adjusted_R2,Top5_count,Top5_RMSE_RM,Top5_MAE_RM,P95_P99_count,P95_P99_RMSE_RM,P95_P99_MAE_RM,P99_P100_count,P99_P100_RMSE_RM,P99_P100_MAE_RM,invalid_rows_removed,retained_rows,original_folds_preserved,RMSE_gain_original_minus_retrained_RM,MAE_gain_original_minus_retrained_RM
original_position_retained,3788,117360.15496127021,60611.27413439672,32548.635945681483,0.8703512920310117,0.8687220168239148,189,406801.3129847609,287404.9015438276,151,314958.7752133207,238293.4494681764,38,654901.5136052413,482558.30321286287,3,3788,True,-3051.738425171381,-911.3537029334111
retrained_invalid_removed,3788,120411.89338644159,61522.62783733013,32544.415405152686,0.8635210679846529,0.861805958411198,189,422941.6730394453,294934.3428584141,151,327743.28958038264,240782.05837729972,38,680334.481752658,510118.4206649476,3,3788,True,-3051.738425171381,-911.3537029334111
