variant,comparison_role,rows,rmse_rm,mae_rm,r2,adjusted_r2,median_ae_rm,top5_count,top5_rmse_rm,top5_mae_rm,p95_p99_count,p95_p99_rmse_rm,p99_p100_count,p99_p100_rmse_rm
A_current_canonical,headline,3791,118750.19350875785,60967.10968555279,0.8702674858843791,0.8686384642003198,32559.579623052035,190,412319.68890075386,291219.0401045874,151,314958.7752133207,39,666455.9225201581
B_clearly_invalid_removed,headline,3788,121865.0352022166,61453.47706947923,0.8602071107159615,0.8584503551554401,33589.17414459486,189,434220.46807343623,294840.5433246634,151,298673.83229111094,38,763739.8744704885
A_original_on_B_retained,mandatory_matched_baseline,3788,117360.15496127021,60611.27413439672,0.8703512920310117,0.8687220168239148,32548.635945681483,189,406801.3129847609,287404.9015438276,151,314958.7752133207,38,654901.5136052413
