price_band,row_count,feature,missing_count,missing_pct,non_missing_count,mean_missing_important_count,complete_rows,complete_rows_pct
P00_P50,1835,price,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,property_size_sqft,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,bedroom,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,bathroom,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,parking_lot,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,completion_year,1238,67.46594005449592,597,2.7618528610354223,207,11.280653950953678
P00_P50,1835,number_of_floors,953,51.93460490463215,882,2.7618528610354223,207,11.280653950953678
P00_P50,1835,total_units,1188,64.74114441416894,647,2.7618528610354223,207,11.280653950953678
P00_P50,1835,property_type,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,tenure_type,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,land_title,0,0.0,1835,2.7618528610354223,207,11.280653950953678
P00_P50,1835,floor_range,473,25.776566757493185,1362,2.7618528610354223,207,11.280653950953678
P00_P50,1835,state,32,1.7438692098092643,1803,2.7618528610354223,207,11.280653950953678
P00_P50,1835,city,32,1.7438692098092643,1803,2.7618528610354223,207,11.280653950953678
P00_P50,1835,building_name,32,1.7438692098092643,1803,2.7618528610354223,207,11.280653950953678
P00_P50,1835,developer,1120,61.03542234332425,715,2.7618528610354223,207,11.280653950953678
P50_P80,1195,price,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,property_size_sqft,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,bedroom,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,bathroom,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,parking_lot,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,completion_year,453,37.90794979079498,742,1.7539748953974896,320,26.778242677824267
P50_P80,1195,number_of_floors,442,36.98744769874477,753,1.7539748953974896,320,26.778242677824267
P50_P80,1195,total_units,417,34.89539748953975,778,1.7539748953974896,320,26.778242677824267
P50_P80,1195,property_type,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,tenure_type,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,land_title,0,0.0,1195,1.7539748953974896,320,26.778242677824267
P50_P80,1195,floor_range,332,27.78242677824268,863,1.7539748953974896,320,26.778242677824267
P50_P80,1195,state,25,2.092050209205021,1170,1.7539748953974896,320,26.778242677824267
P50_P80,1195,city,25,2.092050209205021,1170,1.7539748953974896,320,26.778242677824267
