variant,label,rows_retained,rows_removed,retention_pct,rmse_rm,mae_rm,r2,top5_rmse_rm,top5_mae_rm,matched_original_rmse_rm,matched_original_mae_rm,retraining_rmse_gain_rm,retraining_mae_gain_rm,gain_definition,removed_original_rmse_rm,removed_original_mae_rm,removed_mean_price_rm,removed_median_price_rm,removed_premium_pct,top5_removed_count,top1_removed_count,premium_retention_pct,top1_retention_pct,mean_price_rm,median_price_rm,price_std_rm,price_p95_rm,price_p99_rm,maximum_price_rm,price_skewness,property_type_total_variation,state_total_variation,substantial_population_shift,population_shift_reasons,property_type_distribution,state_distribution
A_current,A. Current canonical dataset,3791,0,100.0,118750.19350875785,60967.10968555279,0.8702674858843791,412319.68890075386,291219.0401045874,118750.19350875785,60967.10968555279,0.0,0.0,original matched metric minus retrained metric; positive is better,,,,,,0,0,100.0,100.0,423016.30994460563,350000.0,329736.63074735354,905000.0,1700000.0,6016000.0,5.2899451800586865,0.0,0.0,False,[],"{""Apartment"": 0.3748351358480612, ""Condominium"": 0.42627275125296754, ""Duplex"": 0.0013189132155104195, ""Flat"": 0.061461355842785545, ""Others"": 0.0042205222896333425, ""Service Residence"": 0.12740701661830653, ""Studio"": 0.0034291743603270903, ""Townhouse Condo"": 0.0010551305724083356}","{""Johor"": 0.10366657873911897, ""Kedah"": 0.0005275652862041678, ""Kelantan"": 0.0002637826431020839, ""Kuala Lumpur"": 0.1751516750197837, ""Labuan"": 0.0002637826431020839, ""Melaka"": 0.015826958586125033, ""Negeri Sembilan"": 0.006067000791347929, ""Pahang"": 0.003956739646531258, ""Penang"": 0.2569242943814297, ""Perak"": 0.003956739646531258, ""Putrajaya"": 0.014508045370614614, ""Sabah"": 0.041941440253231335, ""Sarawak"": 0.031653917172250065, ""Selangor"": 0.3226061725138486, ""Terengganu"": 0.0002637826431020839, ""Unknown"": 0.02242152466367713}"
B_valid_critical,B. Valid/non-missing price and property size,3791,0,100.0,118750.19350875785,60967.10968555279,0.8702674858843791,412319.68890075386,291219.0401045874,118750.19350875785,60967.10968555279,0.0,0.0,original matched metric minus retrained metric; positive is better,,,,,,0,0,100.0,100.0,423016.30994460563,350000.0,329736.63074735354,905000.0,1700000.0,6016000.0,5.2899451800586865,0.0,0.0,False,[],"{""Apartment"": 0.3748351358480612, ""Condominium"": 0.42627275125296754, ""Duplex"": 0.0013189132155104195, ""Flat"": 0.061461355842785545, ""Others"": 0.0042205222896333425, ""Service Residence"": 0.12740701661830653, ""Studio"": 0.0034291743603270903, ""Townhouse Condo"": 0.0010551305724083356}","{""Johor"": 0.10366657873911897, ""Kedah"": 0.0005275652862041678, ""Kelantan"": 0.0002637826431020839, ""Kuala Lumpur"": 0.1751516750197837, ""Labuan"": 0.0002637826431020839, ""Melaka"": 0.015826958586125033, ""Negeri Sembilan"": 0.006067000791347929, ""Pahang"": 0.003956739646531258, ""Penang"": 0.2569242943814297, ""Perak"": 0.003956739646531258, ""Putrajaya"": 0.014508045370614614, ""Sabah"": 0.041941440253231335, ""Sarawak"": 0.031653917172250065, ""Selangor"": 0.3226061725138486, ""Terengganu"": 0.0002637826431020839, ""Unknown"": 0.02242152466367713}"
C_complete_core,C. Complete core fields,3706,85,97.75784753363229,113090.28037273795,58883.368808470485,0.8813436738323102,389926.09618091624,275153.4474783703,112885.06614556436,59589.157341568745,-205.21422717359383,705.7885330982608,original matched metric minus retrained metric; positive is better,270804.86244595284,121045.8318832569,480479.4117647059,400000.0,7.0588235294117645,6,2,96.84210526315789,94.87179487179486,421698.3488936859,350000.0,328351.06806403806,900000.0,1680000.0,6016000.0,5.331040675223172,0.0022687727331027496,0.022421524663677105,False,[],"{""Apartment"": 0.3753372908796546, ""Condominium"": 0.42444684295736645, ""Duplex"": 0.0013491635186184566, ""Flat"": 0.06287101996762008, ""Others"": 0.0037776578521316784, ""Service Residence"": 0.12763086886130598, ""Studio"": 0.003507825148407987, ""Townhouse Condo"": 0.0010793308148947653}","{""Johor"": 0.10604425256341068, ""Kedah"": 0.0005396654074473826, ""Kelantan"": 0.0002698327037236913, ""Kuala Lumpur"": 0.17916891527253104, ""Labuan"": 0.0002698327037236913, ""Melaka"": 0.016189962223421478, ""Negeri Sembilan"": 0.0062061521856449, ""Pahang"": 0.0040474905558553695, ""Penang"": 0.26281705342687534, ""Perak"": 0.0040474905558553695, ""Putrajaya"": 0.014840798704803022, ""Sabah"": 0.042903399892066915, ""Sarawak"": 0.032379924446842956, ""Selangor"": 0.33000539665407447, ""Terengganu"": 0.0002698327037236913}"
D_missing_lt3,D. Remove rows missing >=3 important fields,2159,1632,56.95067264573991,131644.06145779442,67490.538079253,0.8745785698817521,392518.96579735674,271060.62998956564,127854.54931029095,66108.29499044296,-3789.5121475034684,-1382.2430888100498,original matched metric minus retrained metric; positive is better,105505.573126892,54165.74995929182,327461.70465686277,280000.0,1.8382352941176472,30,6,84.21052631578947,84.61538461538461,495246.56276053726,400000.0,371805.662212585,1080000.0,2036200.000000008,6016000.0,5.293481938729769,0.1517394076729594,0.12281055213653555,True,"[""row retention below 90%"", ""mean_price_rm changed by at least 10%"", ""median_price_rm changed by at least 10%"", ""price_std_rm changed by at least 10%"", ""price_p95_rm changed by at least 10%"", ""price_p99_rm changed by at least 10%"", ""premium retention below 90%"", ""top-1% retention below 90%"", ""property-type total variation at least 0.10"", ""state total variation at least 0.10""]","{""Apartment"": 0.2755905511811024, ""Condominium"": 0.5428439092172302, ""Duplex"": 0.0009263547938860583, ""Flat"": 0.012042612320518759, ""Others"": 0.0018527095877721167, ""Service Residence"": 0.16257526632700325, ""Studio"": 0.003242241778601204, ""Townhouse Condo"": 0.0009263547938860583}","{""Johor"": 0.08846688281611857, ""Kedah"": 0.0004631773969430292, ""Kuala Lumpur"": 0.20379805465493284, ""Melaka"": 0.006947660954145438, ""Negeri Sembilan"": 0.002315886984715146, ""Pahang"": 0.002779064381658175, ""Penang"": 0.35108846688281614, ""Perak"": 0.0009263547938860583, ""Putrajaya"": 0.012968967114404817, ""Sabah"": 0.02779064381658175, ""Sarawak"": 0.004631773969430292, ""Selangor"": 0.2978230662343678}"
E_missing_lt5,E. Remove rows missing >=5 important fields,3525,266,92.98338169348457,114959.96528942266,60643.76999420538,0.8802361823901035,388693.88942305295,274003.07798707834,113750.17922586379,60222.9460628114,-1209.7860635588731,-420.82393139397755,original matched metric minus retrained metric; positive is better,171775.98002185376,70828.67649067813,342925.44736842107,272500.0,3.7593984962406015,10,2,94.73684210526315,94.87179487179486,429060.0459574468,358000.0,332235.0283020175,919799.9999999998,1700000.0,6016000.0,5.339549538571913,0.016712145787615713,0.030559424991253976,False,[],"{""Apartment"": 0.3651063829787234, ""Condominium"": 0.4391489361702128, ""Duplex"": 0.0014184397163120568, ""Flat"": 0.05673758865248227, ""Others"": 0.002553191489361702, ""Service Residence"": 0.13106382978723405, ""Studio"": 0.0028368794326241137, ""Townhouse Condo"": 0.0011347517730496454}","{""Johor"": 0.1075177304964539, ""Kedah"": 0.0005673758865248227, ""Kuala Lumpur"": 0.18014184397163122, ""Labuan"": 0.00028368794326241134, ""Melaka"": 0.015035460992907802, ""Negeri Sembilan"": 0.005673758865248227, ""Pahang"": 0.00425531914893617, ""Penang"": 0.2683687943262411, ""Perak"": 0.00425531914893617, ""Putrajaya"": 0.015602836879432624, ""Sabah"": 0.04482269503546099, ""Sarawak"": 0.0249645390070922, ""Selangor"": 0.3282269503546099, ""Terengganu"": 0.00028368794326241134}"
F_completeness_ge80,F. Completeness >=80%,2732,1059,72.06541809548932,128398.64710954968,65198.18143364394,0.8653679595611069,417739.4228075298,287261.4942895807,121365.76013238689,63513.73742021605,-7032.886977162794,-1684.444013427892,original matched metric minus retrained metric; positive is better,111720.17544711367,54397.33917459903,310727.9971671388,260000.0,1.69971671388102,18,5,90.52631578947368,87.17948717948718,466542.4165446559,380000.0,349998.1358692754,983599.9999999986,1796920.0000000037,6016000.0,5.339783836342227,0.09163501983004366,0.07201999959061553,True,"[""row retention below 90%"", ""mean_price_rm changed by at least 10%"", ""top-1% retention below 90%""]","{""Apartment"": 0.3308931185944363, ""Condominium"": 0.49487554904831627, ""Duplex"": 0.0007320644216691069, ""Flat"": 0.01793557833089312, ""Others"": 0.0014641288433382138, ""Service Residence"": 0.15043923865300146, ""Studio"": 0.0029282576866764276, ""Townhouse Condo"": 0.0007320644216691069}","{""Johor"": 0.09773060029282576, ""Kedah"": 0.00036603221083455345, ""Kuala Lumpur"": 0.191800878477306, ""Melaka"": 0.008052708638360176, ""Negeri Sembilan"": 0.0018301610541727673, ""Pahang"": 0.004026354319180088, ""Penang"": 0.3122254758418741, ""Perak"": 0.0018301610541727673, ""Putrajaya"": 0.01281112737920937, ""Sabah"": 0.03367496339677892, ""Sarawak"": 0.013909224011713031, ""Selangor"": 0.32174231332357245}"
G_completeness_ge90,G. Completeness >=90%,1651,2140,43.55051437615405,146670.92875152655,74293.1167124688,0.8343923822614426,427939.79260499554,288635.8194843823,135292.25834671248,70269.32440393824,-11378.670404814067,-4023.7923085305665,original matched metric minus retrained metric; positive is better,104208.86118166671,53790.49449861148,348700.44626168226,290000.0,2.570093457943925,55,13,71.05263157894737,66.66666666666666,519343.35311932163,420000.0,360525.0548655031,1150000.0,1930000.0,5000000.0,4.448058713334816,0.21833501865571192,0.1549191788195479,True,"[""row retention below 90%"", ""mean_price_rm changed by at least 10%"", ""median_price_rm changed by at least 10%"", ""price_p95_rm changed by at least 10%"", ""price_p99_rm changed by at least 10%"", ""maximum_price_rm changed by at least 10%"", ""premium retention below 90%"", ""top-1% retention below 90%"", ""property-type total variation at least 0.10"", ""state total variation at least 0.10""]","{""Apartment"": 0.2150211992731678, ""Condominium"": 0.5887341005451242, ""Flat"": 0.0060569351907934586, ""Others"": 0.0024227740763173833, ""Service Residence"": 0.18291944276196245, ""Studio"": 0.0036341611144760752, ""Townhouse Condo"": 0.0012113870381586917}","{""Johor"": 0.07874015748031496, ""Kedah"": 0.0006056935190793458, ""Kuala Lumpur"": 0.22531798909751666, ""Melaka"": 0.0072683222289521504, ""Negeri Sembilan"": 0.0006056935190793458, ""Pahang"": 0.0030284675953967293, ""Penang"": 0.3615990308903695, ""Perak"": 0.0012113870381586917, ""Putrajaya"": 0.010902483343428226, ""Sabah"": 0.023622047244094488, ""Sarawak"": 0.0012113870381586917, ""Selangor"": 0.28588734100545127}"
H_missing_indicators,H. Canonical rows plus missing indicators,3791,0,100.0,119664.26095191353,60929.81056627766,0.8682625937814404,415199.69793751766,288193.2511963161,118750.19350875785,60967.10968555279,-914.0674431556836,37.29911927512876,original matched metric minus retrained metric; positive is better,,,,,,0,0,100.0,100.0,423016.30994460563,350000.0,329736.63074735354,905000.0,1700000.0,6016000.0,5.2899451800586865,0.0,0.0,False,[],"{""Apartment"": 0.3748351358480612, ""Condominium"": 0.42627275125296754, ""Duplex"": 0.0013189132155104195, ""Flat"": 0.061461355842785545, ""Others"": 0.0042205222896333425, ""Service Residence"": 0.12740701661830653, ""Studio"": 0.0034291743603270903, ""Townhouse Condo"": 0.0010551305724083356}","{""Johor"": 0.10366657873911897, ""Kedah"": 0.0005275652862041678, ""Kelantan"": 0.0002637826431020839, ""Kuala Lumpur"": 0.1751516750197837, ""Labuan"": 0.0002637826431020839, ""Melaka"": 0.015826958586125033, ""Negeri Sembilan"": 0.006067000791347929, ""Pahang"": 0.003956739646531258, ""Penang"": 0.2569242943814297, ""Perak"": 0.003956739646531258, ""Putrajaya"": 0.014508045370614614, ""Sabah"": 0.041941440253231335, ""Sarawak"": 0.031653917172250065, ""Selangor"": 0.3226061725138486, ""Terengganu"": 0.0002637826431020839, ""Unknown"": 0.02242152466367713}"
