Quantile,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,RMSLE,MAPE_Percent,Median_APE_Percent,Mean_Error_RM,Median_Error_RM,Negative_Prediction_Count,top_5_percent_price_threshold_RM
P10,178016.21526263672,89163.45221633522,0.708459221389889,0.7059767027854389,51018.41825291165,0.2933803431125157,18.789031033186227,15.672241195792125,-77234.69810381046,-46394.09433448591,0,905000.0
P50,129891.22736656036,61463.224028914155,0.8447828076015815,0.8434611071873321,32473.746499180736,0.21143019008696343,15.013962737089647,9.889899309326829,-10696.842527513372,837.4947513903899,0,905000.0
P90,175596.6305263231,95908.93238092003,0.7163305682763271,0.7139150755101862,59193.44281923148,0.2914024851456814,26.29504305935991,17.17233205248991,73181.63628656686,52287.42534126254,0,905000.0
