,random_forest,catboost,xgboost,lightgbm
random_forest,1.0,0.8328973969265818,0.9456012580648809,0.9058479116817202
catboost,0.8328973969265818,1.0,0.8158272587205225,0.7953369153943086
xgboost,0.9456012580648809,0.8158272587205225,1.0,0.9558259459280417
lightgbm,0.9058479116817202,0.7953369153943086,0.9558259459280417,1.0
