Model_Key,Model,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,selected_candidate,inner_candidate_scores
huber,Huber Boosting,2,3033.0,758.0,3.554958299966529,136225.51577784968,66034.86879926975,0.8770699600736995,1.0,"[{'RMSE_RM': 144797.34379437182, 'MAE_RM': 71042.07103823159}, {'RMSE_RM': 138327.29768965318, 'MAE_RM': 69066.18062328947}, {'RMSE_RM': 140667.09771784433, 'MAE_RM': 69383.7643547434}]"
huber,Huber Boosting,3,3033.0,758.0,4.256464299978688,133178.1122737343,66337.12766429938,0.8304908400440025,2.0,"[{'RMSE_RM': 148767.44021502032, 'MAE_RM': 71361.76867805772}, {'RMSE_RM': 143748.1208888914, 'MAE_RM': 70001.45686602239}, {'RMSE_RM': 141154.95502110358, 'MAE_RM': 69692.2058580626}]"
huber,Huber Boosting,4,3033.0,758.0,4.168793700053357,115606.38205143024,61322.23154354664,0.8396995105729735,2.0,"[{'RMSE_RM': 141562.964801467, 'MAE_RM': 70434.13967921173}, {'RMSE_RM': 141756.49147869975, 'MAE_RM': 69416.01408076554}, {'RMSE_RM': 138329.92142231853, 'MAE_RM': 68934.78178099205}]"
huber,Huber Boosting,5,3033.0,758.0,3.5106819000211544,148395.22655739318,63909.871818805936,0.7931508229452261,1.0,"[{'RMSE_RM': 141543.0495408424, 'MAE_RM': 71974.92099796433}, {'RMSE_RM': 140097.47717851622, 'MAE_RM': 70239.69936009718}, {'RMSE_RM': 140617.25484109035, 'MAE_RM': 70748.73231927403}]"
tweedie,Tweedie LightGBM,1,3032.0,759.0,1.1979065999621525,111230.80552521923,58492.136084710226,0.8729945292118017,3.0,"[{'RMSE_RM': 130740.72571591142, 'MAE_RM': 66909.66767856933}, {'RMSE_RM': 130715.82045248924, 'MAE_RM': 66543.07049619911}, {'RMSE_RM': 130754.26608577755, 'MAE_RM': 67284.19782287115}, {'RMSE_RM': 130168.84497891481, 'MAE_RM': 66788.92278854306}, {'RMSE_RM': 131380.87512912028, 'MAE_RM': 66990.24264298767}]"
tweedie,Tweedie LightGBM,2,3033.0,758.0,1.2149298000149429,129262.57546382041,63182.20267534949,0.8893155248058338,0.0,"[{'RMSE_RM': 138735.9358594748, 'MAE_RM': 68037.64498074562}, {'RMSE_RM': 138856.4154195677, 'MAE_RM': 68409.53309398642}, {'RMSE_RM': 139206.35359537698, 'MAE_RM': 68546.26106649324}, {'RMSE_RM': 138780.20175361304, 'MAE_RM': 68200.89358881603}, {'RMSE_RM': 139170.93312203584, 'MAE_RM': 68099.58553358816}]"
tweedie,Tweedie LightGBM,3,3033.0,758.0,1.5015260999789461,127413.90491658125,64959.326407748165,0.8448466653649218,4.0,"[{'RMSE_RM': 137802.57306585604, 'MAE_RM': 68316.36949329545}, {'RMSE_RM': 138654.2558163588, 'MAE_RM': 68359.68958926066}, {'RMSE_RM': 137551.4302834913, 'MAE_RM': 68668.78318670909}, {'RMSE_RM': 135547.59420508152, 'MAE_RM': 67997.59728506011}, {'RMSE_RM': 133457.8297457814, 'MAE_RM': 67847.82698480647}]"
tweedie,Tweedie LightGBM,4,3033.0,758.0,1.354325600026641,119708.88401624773,59558.56411972814,0.8281205352322851,0.0,"[{'RMSE_RM': 135291.09056255303, 'MAE_RM': 68530.8006771218}, {'RMSE_RM': 136705.91511749104, 'MAE_RM': 68440.57219411929}, {'RMSE_RM': 137915.78891548168, 'MAE_RM': 68747.03824156777}, {'RMSE_RM': 136203.93010816074, 'MAE_RM': 68602.92645990383}, {'RMSE_RM': 136833.79448172022, 'MAE_RM': 68769.8996167751}]"
tweedie,Tweedie LightGBM,5,3033.0,758.0,1.931511600036174,138273.58341788742,61446.820912381416,0.8204057735878545,3.0,"[{'RMSE_RM': 135081.35416405238, 'MAE_RM': 67050.97546877246}, {'RMSE_RM': 134883.2344170966, 'MAE_RM': 67115.51100158157}, {'RMSE_RM': 134795.55457609455, 'MAE_RM': 67059.40582225256}, {'RMSE_RM': 133524.72553556028, 'MAE_RM': 66594.40745441336}, {'RMSE_RM': 133802.70110983573, 'MAE_RM': 66587.74775700532}]"
target_log_ppsf,RF Log1p PPSF,1,3032.0,759.0,2.8113054999848828,119805.477291946,61416.466489620994,0.852658322066387,,
target_log_ppsf,RF Log1p PPSF,2,3033.0,758.0,2.7391322999610566,129429.62600327717,60778.47995194006,0.88902925712477,,
