Model,Trim_Level,Removal_Percent,Full_Population_Cutoff_RM,Retained_OOF_Rows,Removed_Evaluation_Rows,Matched_Original_RMSE_RM,Matched_Retrained_RMSE_RM,Matched_RMSE_Gain_RM,Matched_Original_MAE_RM,Matched_Retrained_MAE_RM,Matched_MAE_Gain_RM,Retrained_R2,Retrained_Adjusted_R2,Retrained_Median_AE_RM
LightGBM + Position Features,A,0.0,,3791,0,122730.61964179797,122730.61964179797,0.0,61914.61545985386,61914.61545985386,0.0,0.8614246333849803,0.8596845740125769,33747.41704834142
LightGBM + Position Features,B,0.5,2281000.0000000037,3772,19,104747.22096601147,99354.7773221289,5392.44364388258,58581.04905970376,56875.46278967284,1705.5862700309153,0.8501363550071107,0.8482449502502187,33879.44361816268
LightGBM + Position Features,C,1.0,1700000.0,3758,33,100368.07895586187,93948.7206749224,6419.358280939472,57518.04289895404,56004.37019431748,1513.6727046365559,0.8428566521817104,0.8408658873980285,33326.03162621928
LightGBM + Position Features,D,2.5,1200000.0,3700,91,88338.18219408915,81280.33055224761,7057.851641841538,53548.4603091449,51891.00660532301,1657.4537038218914,0.8333774545283845,0.8312330789431803,33179.84845173778
LightGBM + Position Features,E,5.0,905000.0,3601,190,78242.68596411555,72463.70989937868,5778.976064736868,49728.244680732416,47919.00262780433,1809.2420529280862,0.8152634712035371,0.8128197287736374,31470.43691788621
LightGBM + Position Features,F,10.0,699999.0,3412,379,69386.40653122374,61843.12353465537,7543.282996568363,45742.09925513794,42997.24568125445,2744.8535738834908,0.8061464552516382,0.8034380377120505,29740.07476727772
