Model,Trim_Level,Removal_Percent,Fold,Training_Rows,Validation_Rows,RMSE_RM,MAE_RM,R2,Adjusted_R2
LightGBM + Position Features,1%,1.0,1,3009,749,86548.26025712828,55003.19212623655,0.8415071994935586,0.8308807207149527
LightGBM + Position Features,1%,1.0,2,3010,748,95177.6247935303,55514.419141136146,0.8364653410478772,0.825485156803949
LightGBM + Position Features,1%,1.0,3,3005,753,92067.93935435214,52595.410872532964,0.8393336550567667,0.8286225653938845
LightGBM + Position Features,1%,1.0,4,3001,757,102241.68852430918,60088.15439045754,0.8422205759545398,0.8317612911447562
LightGBM + Position Features,1%,1.0,5,3007,751,92940.11416760062,56792.502675806136,0.8528507600555932,0.8430129019085276
Ridge Regression,2.5%,2.5,1,2958,742,93700.12903929828,63984.30371556301,0.7770325697389824,0.766969159628471
Ridge Regression,2.5%,2.5,2,2963,737,92131.00514856099,62160.259089828636,0.7844433549466646,0.7746453256260585
Ridge Regression,2.5%,2.5,3,2957,743,88001.24516789336,61548.70733875151,0.7951143276035366,0.7858800437772171
Ridge Regression,2.5%,2.5,4,2961,739,89111.39753585508,63036.40814685396,0.7947180857992001,0.7854135231158778
Ridge Regression,2.5%,2.5,5,2961,739,98427.31965192183,65407.087051310875,0.7743299756025053,0.764101305941429
Random Forest,2.5%,2.5,1,2958,742,80026.6310780328,52014.720368504044,0.8373589686076274,0.8300183296731338
Random Forest,2.5%,2.5,2,2963,737,82718.74723370268,49827.31732255522,0.8262368448444174,0.8183385196100728
Random Forest,2.5%,2.5,3,2957,743,77493.24924321231,48650.616735549855,0.8411227562787296,0.8339620917729822
Random Forest,2.5%,2.5,4,2961,739,79160.80266045654,52013.31884306593,0.8380039006383333,0.8306613012338385
Random Forest,2.5%,2.5,5,2961,739,88909.1381977364,53402.7040064856,0.815865418214858,0.8075193748478261
Gradient Boosting,2.5%,2.5,1,2958,742,78426.38464968173,51830.13797347335,0.8437984134325933,0.8367484123463351
Gradient Boosting,2.5%,2.5,2,2963,737,82607.47999711316,51175.05287074563,0.8267039975346723,0.818826906513521
Gradient Boosting,2.5%,2.5,3,2957,743,76181.11224506365,49174.550411916134,0.8464575121941293,0.8395372873916113
Gradient Boosting,2.5%,2.5,4,2961,739,81500.97159492619,54123.73931187726,0.8282844001085785,0.8205012567707237
Gradient Boosting,2.5%,2.5,5,2961,739,86486.53181730978,54379.80055752401,0.8257633460471754,0.8178659339699935
LightGBM + Position Features,2.5%,2.5,1,2958,742,79019.82274560678,51928.63964688854,0.8414255722196597,0.8306863818656598
LightGBM + Position Features,2.5%,2.5,2,2963,737,81510.42288282404,50249.15187293916,0.831276300441251,0.8197668463349213
LightGBM + Position Features,2.5%,2.5,3,2957,743,75090.7569479926,48257.296722464256,0.8508212652504391,0.8407329191594616
LightGBM + Position Features,2.5%,2.5,4,2961,739,79669.87404852874,53199.57891179962,0.8359136553458999,0.8247529343636384
LightGBM + Position Features,2.5%,2.5,5,2961,739,90361.93797750819,55835.43790356809,0.8097986339812577,0.796861638029187
Ridge Regression,5%,5.0,1,2878,723,88073.61471506512,60670.61384214495,0.7273587759980765,0.7147145453197264
Ridge Regression,5%,5.0,2,2889,712,77725.7236958416,55721.22362524957,0.7702382161084151,0.759409972979504
Ridge Regression,5%,5.0,3,2874,727,82003.18014822585,57794.30672940762,0.7626200709614901,0.7516745987291669
Ridge Regression,5%,5.0,4,2877,724,89839.76534751456,61665.71995664532,0.7292649822333646,0.7167273258389617
Ridge Regression,5%,5.0,5,2886,715,80800.1090154616,57649.81749288906,0.7754737043730918,0.7649387462205096
Random Forest,5%,5.0,1,2878,723,74960.89967423337,49377.13279233106,0.8024989261310899,0.7933394560386187
Random Forest,5%,5.0,2,2889,712,69079.55627425371,45813.39750539507,0.8185122467874281,0.8099590684327855
Random Forest,5%,5.0,3,2874,727,75610.59682125071,47610.0410604547,0.7981875578253218,0.7888820849872963
Random Forest,5%,5.0,4,2877,724,77115.73571673562,51341.14609840939,0.8005228166674249,0.7912850889298816
Random Forest,5%,5.0,5,2886,715,72452.240549459,47603.62271207525,0.8194710075071732,0.8110004389444598
Gradient Boosting,5%,5.0,1,2878,723,75241.09075028377,50465.39086712557,0.8010197160167308,0.7917916448754778
Gradient Boosting,5%,5.0,2,2889,712,70067.52938021785,46987.179542435784,0.8132838627139356,0.8044842803970667
Gradient Boosting,5%,5.0,3,2874,727,73270.966847759,48734.5562056568,0.8104837517455911,0.8017452503851572
Gradient Boosting,5%,5.0,4,2877,724,74599.77207706789,50733.429689018456,0.8133266953382795,0.8046819113307903
Gradient Boosting,5%,5.0,5,2886,715,75580.02964497036,50267.9050488874,0.8035475571460211,0.7943298472173888
LightGBM + Position Features,5%,5.0,1,2878,723,73416.74593905665,48829.42967486334,0.8105519482640733,0.7973607505876458
LightGBM + Position Features,5%,5.0,2,2889,712,69381.70104049529,45991.41606105815,0.816921168341662,0.8039622751369302
LightGBM + Position Features,5%,5.0,3,2874,727,69586.57799499815,45781.75991078521,0.8290639886628541,0.817231893621844
LightGBM + Position Features,5%,5.0,4,2877,724,74800.17224084528,50232.65366574434,0.8123224132374594,0.7992738236252709
LightGBM + Position Features,5%,5.0,5,2886,715,74919.20989052771,48748.22638207559,0.806967829109442,0.7933658620451898
Ridge Regression,10%,10.0,1,2725,687,73335.77475842157,53900.749225321284,0.7279538938370818,0.7146427693765108
Ridge Regression,10%,10.0,2,2733,679,64779.18320965495,48233.47174616242,0.7702334625911977,0.7588518384471085
Ridge Regression,10%,10.0,3,2723,689,70102.82070036096,51185.4100362253,0.7516013055346732,0.7394842960485597
Ridge Regression,10%,10.0,4,2735,677,76525.84768430467,54957.98846761429,0.7032809361674653,0.6885371317534263
Ridge Regression,10%,10.0,5,2732,680,73883.38075023174,52942.71981629443,0.7403899869264386,0.7275499244560306
Random Forest,10%,10.0,1,2725,687,62869.44497348399,44190.85049821014,0.8000644609810842,0.7902816823134919
Random Forest,10%,10.0,2,2733,679,60545.06666505142,42660.09012314709,0.7992879866474931,0.7893455958931894
Random Forest,10%,10.0,3,2723,689,66088.89659868697,43870.113302781465,0.7792324055974212,0.768463254650954
Random Forest,10%,10.0,4,2735,677,65718.34867673348,45332.35760133593,0.7811722290157089,0.7702987994015826
Random Forest,10%,10.0,5,2732,680,63839.841751833505,43336.408797120275,0.8061742275741616,0.7965877906071959
Gradient Boosting,10%,10.0,1,2725,687,64624.05263962644,45556.777017994784,0.7887488292891764,0.7784123805693808
Gradient Boosting,10%,10.0,2,2733,679,59972.32394292419,42105.538523161806,0.8030674065276284,0.7933122316187803
Gradient Boosting,10%,10.0,3,2723,689,61069.18625312954,43535.52749699688,0.8114951236123098,0.8022997637885201
Gradient Boosting,10%,10.0,4,2735,677,65188.46240829659,45549.430505205855,0.7846868140939511,0.7739880222476878
Gradient Boosting,10%,10.0,5,2732,680,63406.431464173664,43294.82866654143,0.8087970700430697,0.7993403563512277
LightGBM + Position Features,10%,10.0,1,2725,687,62156.490507262555,43807.70029490824,0.8045733822485024,0.7901992804733531
LightGBM + Position Features,10%,10.0,2,2733,679,58515.10498542438,41147.87674787839,0.812521348498081,0.7985570115399349
LightGBM + Position Features,10%,10.0,3,2723,689,61867.97676692058,41997.445943862105,0.8065315506667857,0.7923458765347091
LightGBM + Position Features,10%,10.0,4,2735,677,62842.0129820147,44529.444902226984,0.79990818288195,0.7849569660225726
LightGBM + Position Features,10%,10.0,5,2732,680,63703.7471276477,43512.69028808841,0.8069997474300639,0.7926468805459073
