Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Gradient Boosting,2.5%,2.5,103781822,5,200000.0,245316.71260465536
Gradient Boosting,2.5%,2.5,103781803,2,170000.0,181515.0528038848
Gradient Boosting,2.5%,2.5,103781785,5,199999.0,249547.4883966887
Gradient Boosting,2.5%,2.5,102896565,5,280000.0,232566.71837767068
Gradient Boosting,2.5%,2.5,102880405,5,155000.0,170331.31397585876
Gradient Boosting,2.5%,2.5,103549516,1,330000.0,291914.6347877754
Gradient Boosting,2.5%,2.5,103446504,5,279999.0,290275.33533729304
Gradient Boosting,2.5%,2.5,102981673,5,299999.0,464732.9705060536
Gradient Boosting,2.5%,2.5,102981671,4,275000.0,269159.72632254247
Gradient Boosting,2.5%,2.5,102561514,5,350000.0,338454.09391570237
Gradient Boosting,2.5%,2.5,103712760,5,215000.0,215982.34278366368
Gradient Boosting,2.5%,2.5,103515353,4,460000.0,444359.25618075865
Gradient Boosting,2.5%,2.5,103434959,3,450000.0,423084.1532636817
Gradient Boosting,2.5%,2.5,103434910,3,450000.0,440911.06653562095
Gradient Boosting,2.5%,2.5,103498210,4,420000.0,422444.69342673843
Gradient Boosting,2.5%,2.5,101491913,2,380000.0,387772.61801277054
Gradient Boosting,2.5%,2.5,100085128,5,380000.0,315559.32348981
Gradient Boosting,2.5%,2.5,103159578,3,530000.0,504680.189945507
Gradient Boosting,2.5%,2.5,103114435,4,740000.0,668466.7079780212
Gradient Boosting,2.5%,2.5,102515573,1,910000.0,924205.3751917677
Gradient Boosting,2.5%,2.5,102262350,2,518000.0,587158.8457610947
Gradient Boosting,2.5%,2.5,103400217,3,246000.0,210082.89177127407
Gradient Boosting,2.5%,2.5,103718348,2,368000.0,361498.6534683289
Gradient Boosting,2.5%,2.5,103734479,4,210000.0,224087.87296359637
Gradient Boosting,2.5%,2.5,103781434,4,60000.0,148856.59816286003
Gradient Boosting,2.5%,2.5,103624792,2,315000.0,226269.39080861138
Gradient Boosting,2.5%,2.5,103080924,3,600000.0,623127.2205380067
Gradient Boosting,2.5%,2.5,101710780,4,550000.0,566314.8618101148
Gradient Boosting,2.5%,2.5,98459187,2,550000.0,517915.49001360225
Gradient Boosting,2.5%,2.5,97158710,4,780000.0,796490.3419617196
Gradient Boosting,2.5%,2.5,103264750,2,165000.0,149386.2997849979
Gradient Boosting,2.5%,2.5,103781399,4,543000.0,523441.9800093719
Gradient Boosting,2.5%,2.5,103781374,4,729000.0,752726.9898552389
Gradient Boosting,2.5%,2.5,103781415,4,193000.0,185725.04771802062
Gradient Boosting,2.5%,2.5,96025647,5,470000.0,617789.1687163748
Gradient Boosting,2.5%,2.5,103342467,4,445000.0,436686.59568000823
Gradient Boosting,2.5%,2.5,103272128,3,388000.0,377177.9252220064
