Model,Candidate_ID,Parameters_JSON,CV_RMSE_RM,CV_MAE_RM,CV_R2,CV_Adjusted_R2,Candidate_Rank,Selected
Random Forest,20,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 30, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",126651.2103546205,62539.963180162464,0.852429730126641,0.8511731445396407,30,False
Random Forest,16,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 24, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",126682.90437179277,61400.31075239365,0.8523558630097366,0.8510986484318526,31,False
Random Forest,40,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",126941.37583917318,62847.87077237831,0.8517527709392602,0.8504904209312922,32,False
Random Forest,47,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",126971.43903573335,62153.42361075693,0.8516825446115279,0.8504195966146064,33,False
Random Forest,4,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",127124.78545911123,62607.015735986126,0.8513240752472941,0.8500580748236415,34,False
Random Forest,39,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 30, ""max_features"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",127162.18930400895,62250.25646179121,0.8512365727304297,0.8499698272081768,35,False
Random Forest,12,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",127190.20331601752,61326.1308127797,0.8511710199193383,0.8499037162039096,36,False
Random Forest,14,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",127608.96219462447,63308.2925011917,0.8501894026009618,0.8489137402495064,37,False
Random Forest,21,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 16, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",127770.91767962294,61859.4304111927,0.8498088957138872,0.8485299932824993,38,False
Random Forest,41,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",127986.34629535356,63841.986047728795,0.8493020082499662,0.8480187895868472,39,False
