Model,Pre_Tuning_RMSE_RM,Tuned_RMSE_RM,RMSE_Improvement_RM,RMSE_Improvement_Pct,Pre_Tuning_MAE_RM,Tuned_MAE_RM,MAE_Improvement_RM,MAE_Improvement_Pct,Pre_Tuning_R2,Tuned_R2,R2_Change,Pre_Tuning_Adjusted_R2,Tuned_Adjusted_R2,Adjusted_R2_Change
Ridge Regression,145209.18990447978,141108.82942983773,4100.360474642046,2.8237610011730725,75561.38457438708,75018.33170320009,543.0528711869847,0.7186910010262867,0.8060148934886255,0.8168155685875212,0.010800675098895707,0.8043630777865596,0.8152557224445731,0.01089264465801354
Random Forest,125115.274556188,124499.35033010734,615.9242260806641,0.49228539701925744,61434.97328188159,60979.15617764107,455.8171042405229,0.741950520836236,0.8559872813471051,0.8574016984396978,0.0014144170925927124,0.8547609889051433,0.8561874499963956,0.001426461091252329
Gradient Boosting,128882.87857175295,123815.8865349057,5066.992036847252,3.9314702565603437,63363.75760496543,61270.67856360546,2093.079041359968,3.3032748064107014,0.8471833632764538,0.8589630441176763,0.011779680841222495,0.8458821039962108,0.8577620907945698,0.011879986798358999
LightGBM + Position Features,122730.61964179797,118903.83223288442,3826.787408913544,3.118038041429612,61914.61545985387,59696.6881969071,2217.927262946774,3.5822353841233223,0.8614246333849803,0.8699315734735507,0.008506940088570336,0.8596845740125769,0.8682983338137208,0.008613759801143872
